DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
IBS,Blautia,"CONCLUSION: The gut microbiota, especially the genus Blautia, may serve as a significant predictive microbe for symptom relief in IBS-C patients receiving linaclotide treatment.",What is the relation between IBS and Blautia?,positive
TB,Proteobacteria,"The results showed that the liver fat number and liver fat content of grass carp in the TB group were lower than those in the HL group, while the fattening degree was significantly higher than those in the other two groups; according to the indices such as Shannon, Ace, and Coverage, it was found that the grass carp in the TB group had the highest abundance and diversity of intestinal microflora; at the portal level, Proteobacteria and Fusobacteria were the main dominant flora in the TB group, with the number of unique OUTs accounting for about 59.",What is the relation between TB and Proteobacteria?,positive
TB,Fusobacteria,"The results showed that the liver fat number and liver fat content of grass carp in the TB group were lower than those in the HL group, while the fattening degree was significantly higher than those in the other two groups; according to the indices such as Shannon, Ace, and Coverage, it was found that the grass carp in the TB group had the highest abundance and diversity of intestinal microflora; at the portal level, Proteobacteria and Fusobacteria were the main dominant flora in the TB group, with the number of unique OUTs accounting for about 59.",What is the relation between TB and Fusobacteria?,relate
ten,Staphylococcus,"We screened ten common conditional pathogens and found that Staphylococcus had the highest relative abundance, while Clostridium contained the most microbial species, up to 456.",What is the relation between ten and Staphylococcus?,positive
ten,Clostridium,"We screened ten common conditional pathogens and found that Staphylococcus had the highest relative abundance, while Clostridium contained the most microbial species, up to 456.",What is the relation between ten and Clostridium?,positive
Infectious diseases,Flavobacterium,"Especially, the abundance of some pathogens (e.g., Pseudomonas, Klebsiella and Flavobacterium) was increased in MPs, and the disease risk of Kyoto Encyclopedia of Genes and Genomes metabolic pathway (e.g., Infectious diseases: Bacterial, Infectious diseases: Parasitic and Immune diseases) was higher.",What is the relation between Infectious diseases and Flavobacterium?,positive
Infectious diseases,Pseudomonas,"Especially, the abundance of some pathogens (e.g., Pseudomonas, Klebsiella and Flavobacterium) was increased in MPs, and the disease risk of Kyoto Encyclopedia of Genes and Genomes metabolic pathway (e.g., Infectious diseases: Bacterial, Infectious diseases: Parasitic and Immune diseases) was higher.",What is the relation between Infectious diseases and Pseudomonas?,positive
Infectious diseases,Klebsiella,"Especially, the abundance of some pathogens (e.g., Pseudomonas, Klebsiella and Flavobacterium) was increased in MPs, and the disease risk of Kyoto Encyclopedia of Genes and Genomes metabolic pathway (e.g., Infectious diseases: Bacterial, Infectious diseases: Parasitic and Immune diseases) was higher.",What is the relation between Infectious diseases and Klebsiella?,positive
tuberculosis,Mycobacterium,"For instance, Mycobacterium tuberculosis (Mtu) SufB intein splicing is crucial for the functionality of SUF complex.",What is the relation between tuberculosis and Mycobacterium?,positive
peritonitis,Streptococcus cristatus,"A paracentesis was negative for spontaneous bacterial peritonitis, but two separate blood cultures grew Streptococcus cristatus.",What is the relation between peritonitis and Streptococcus cristatus?,relate
peritonitis,Streptococcus,"A paracentesis was negative for spontaneous bacterial peritonitis, but two separate blood cultures grew Streptococcus cristatus.",What is the relation between peritonitis and Streptococcus?,relate
cirrhosis,Streptococcus cristatus,CONCLUSION: A patient with end-stage cirrhosis and poor oral hygiene developed bacteremia with an oral bacterium called Streptococcus cristatus.,What is the relation between cirrhosis and Streptococcus cristatus?,positive
cirrhosis,Streptococcus,CONCLUSION: A patient with end-stage cirrhosis and poor oral hygiene developed bacteremia with an oral bacterium called Streptococcus cristatus.,What is the relation between cirrhosis and Streptococcus?,positive
obesity,Akkermansia,"The omics data also indicated the alteration of anti-obesity microbes and metabolites such as Akkermansia and indolelactic acid, respectively.",What is the relation between obesity and Akkermansia?,negative
obesity,Akkermansia,"2023 Jul;415(16):3297. doi: 10.1007/s00216-023-04765-w.

Amuc_1100 (hereafter called Amuc) is a highly abundant pili-like protein on the outer membrane of Akkermansia muciniphila and has been found to be effective for in anti-obesity, which is probably through the activation of TLR2.",What is the relation between obesity and Akkermansia?,negative
AD,Porphyromonas gingivalis,"RESULTS: The predominant bacterium of salivary microbiome and periodontal microbiome from AD patients was Streptococcus oralis and Porphyromonas gingivalis, respectively.",What is the relation between AD and Porphyromonas gingivalis?,relate
AD,Streptococcus oralis,"RESULTS: The predominant bacterium of salivary microbiome and periodontal microbiome from AD patients was Streptococcus oralis and Porphyromonas gingivalis, respectively.",What is the relation between AD and Streptococcus oralis?,relate
AD,Porphyromonas,"RESULTS: The predominant bacterium of salivary microbiome and periodontal microbiome from AD patients was Streptococcus oralis and Porphyromonas gingivalis, respectively.",What is the relation between AD and Porphyromonas?,relate
AD,Streptococcus,"RESULTS: The predominant bacterium of salivary microbiome and periodontal microbiome from AD patients was Streptococcus oralis and Porphyromonas gingivalis, respectively.",What is the relation between AD and Streptococcus?,relate
AD,Veillonella,The relative abundance of Veillonella parvula significantly increased in oral microbiomes from AD patients.,What is the relation between AD and Veillonella?,positive
HUS,Shigella dysenteriae,"In most of the cases, HUS occurs as a result of infection caused by Shiga toxin-producing microbes: hemorrhagic Escherichia coli and Shigella dysenteriae type 1.",What is the relation between HUS and Shigella dysenteriae?,relate
HUS,Escherichia coli,"In most of the cases, HUS occurs as a result of infection caused by Shiga toxin-producing microbes: hemorrhagic Escherichia coli and Shigella dysenteriae type 1.",What is the relation between HUS and Escherichia coli?,relate
HUS,Escherichia,"In most of the cases, HUS occurs as a result of infection caused by Shiga toxin-producing microbes: hemorrhagic Escherichia coli and Shigella dysenteriae type 1.",What is the relation between HUS and Escherichia?,relate
HUS,Shigella,"In most of the cases, HUS occurs as a result of infection caused by Shiga toxin-producing microbes: hemorrhagic Escherichia coli and Shigella dysenteriae type 1.",What is the relation between HUS and Shigella?,relate
diabetes,Ruminococcus gnavus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between diabetes and Ruminococcus gnavus?,negative
diabetes,Lactobacillus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between diabetes and Lactobacillus?,negative
diabetes,Bacteroidetes,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between diabetes and Bacteroidetes?,negative
diabetes,Ruminococcus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between diabetes and Ruminococcus?,negative
diabetes,Roseburia,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between diabetes and Roseburia?,negative
obesity,Ruminococcus gnavus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between obesity and Ruminococcus gnavus?,negative
obesity,Lactobacillus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between obesity and Lactobacillus?,negative
obesity,Bacteroidetes,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between obesity and Bacteroidetes?,negative
obesity,Ruminococcus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between obesity and Ruminococcus?,negative
obesity,Roseburia,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between obesity and Roseburia?,negative
cancer,Ruminococcus gnavus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between cancer and Ruminococcus gnavus?,negative
cancer,Lactobacillus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between cancer and Lactobacillus?,negative
cancer,Bacteroidetes,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between cancer and Bacteroidetes?,negative
cancer,Ruminococcus,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between cancer and Ruminococcus?,negative
cancer,Roseburia,"Dysbiosis, a disruption of the normal crosstalk between the host and the microbes, is associated with obesity, diabetes, cancer, and cardiovascular diseases, is linked to a reduction of anti-inflammatory bacteria like Lactobacillus and Roseburia, and to an increase in the growth of proinflammatory species like Ruminococcus gnavus and Bacteroidetes.",What is the relation between cancer and Roseburia?,negative
mastitis,Firmicutes,"Proteobacteria was the predominant phylum in the healthy group, while clinical and subclinical mastitis milk had a higher abundance of Firmicutes.",What is the relation between mastitis and Firmicutes?,positive
mastitis,Corynebacterium,"Dominant bacterial genera in the healthy group were Streptococcus (11.60%), Herbaspirillum (7.65%), and Staphylococcus (4.70%), whereas the clinical mastitis group was dominated by Streptococcus (33.96%), Staphylococcus (7.87%), and Corynebacterium (2.68%), and the subclinical mastitis group was dominated by Bacillus (15.70%), Corynebacterium (6.70%), and Staphylococcus (6.58%).",What is the relation between mastitis and Corynebacterium?,relate
mastitis,Herbaspirillum,"Dominant bacterial genera in the healthy group were Streptococcus (11.60%), Herbaspirillum (7.65%), and Staphylococcus (4.70%), whereas the clinical mastitis group was dominated by Streptococcus (33.96%), Staphylococcus (7.87%), and Corynebacterium (2.68%), and the subclinical mastitis group was dominated by Bacillus (15.70%), Corynebacterium (6.70%), and Staphylococcus (6.58%).",What is the relation between mastitis and Herbaspirillum?,relate
mastitis,Staphylococcus,"Dominant bacterial genera in the healthy group were Streptococcus (11.60%), Herbaspirillum (7.65%), and Staphylococcus (4.70%), whereas the clinical mastitis group was dominated by Streptococcus (33.96%), Staphylococcus (7.87%), and Corynebacterium (2.68%), and the subclinical mastitis group was dominated by Bacillus (15.70%), Corynebacterium (6.70%), and Staphylococcus (6.58%).",What is the relation between mastitis and Staphylococcus?,relate
mastitis,Streptococcus,"Dominant bacterial genera in the healthy group were Streptococcus (11.60%), Herbaspirillum (7.65%), and Staphylococcus (4.70%), whereas the clinical mastitis group was dominated by Streptococcus (33.96%), Staphylococcus (7.87%), and Corynebacterium (2.68%), and the subclinical mastitis group was dominated by Bacillus (15.70%), Corynebacterium (6.70%), and Staphylococcus (6.58%).",What is the relation between mastitis and Streptococcus?,relate
mastitis,Bacillus,"Dominant bacterial genera in the healthy group were Streptococcus (11.60%), Herbaspirillum (7.65%), and Staphylococcus (4.70%), whereas the clinical mastitis group was dominated by Streptococcus (33.96%), Staphylococcus (7.87%), and Corynebacterium (2.68%), and the subclinical mastitis group was dominated by Bacillus (15.70%), Corynebacterium (6.70%), and Staphylococcus (6.58%).",What is the relation between mastitis and Bacillus?,relate
mg,Verrucomicrobia,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Verrucomicrobia?,relate
mg,Planctomycetes,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Planctomycetes?,relate
mg,Proteobacteria,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Proteobacteria?,relate
mg,Actinobacteria,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Actinobacteria?,relate
mg,Acidobacteria,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Acidobacteria?,relate
mg,Cyanobacteria,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Cyanobacteria?,relate
mg,Bacteroidetes,"Methane oxidation rates were 3.04-31.68聽渭mol methane mg-1 fresh weight of V. natans leaves - epiphytic biofilm within 1聽h. Proteobacteria, Cyanobacteria, Bacteroidetes, Verrucomicrobia, Planctomycetes, Actinobacteria and Acidobacteria were dominant phylum in all epiphytic biofilms.",What is the relation between mg and Bacteroidetes?,relate
crabs,Arcobacter,"In conclusion, trapped crab effects activated the metabolism and immunity of the intestinal flora, but free crabs made mussels more susceptible to disease and mortality, corresponding to the decreased biodiversity and the increased Arcobacter in their intestine.",What is the relation between crabs and Arcobacter?,positive
IBS,Desulfovibrio,"longum DD98 effectively restored the relative abundance of intestinal microbes (e.g., Lactobacillus, Desulfovibrio, Akkermansia) and regulated the impaired diversity of gut microbiota in IBS mice.",What is the relation between IBS and Desulfovibrio?,negative
IBS,Lactobacillus,"longum DD98 effectively restored the relative abundance of intestinal microbes (e.g., Lactobacillus, Desulfovibrio, Akkermansia) and regulated the impaired diversity of gut microbiota in IBS mice.",What is the relation between IBS and Lactobacillus?,negative
IBS,Akkermansia,"longum DD98 effectively restored the relative abundance of intestinal microbes (e.g., Lactobacillus, Desulfovibrio, Akkermansia) and regulated the impaired diversity of gut microbiota in IBS mice.",What is the relation between IBS and Akkermansia?,negative
Mg,Mycoplasma genitalium,"To understand whether the pathogenic human mycoplasmas dysregulate host lncRNAs, we infected HeLa cells with Mycoplasma genitalium (Mg) and Mycoplasma penumoniae (Mp) and assessed the expression of lncRNAs by directional RNA-seq analysis.",What is the relation between Mg and Mycoplasma genitalium?,relate
Mg,Mycoplasma,"To understand whether the pathogenic human mycoplasmas dysregulate host lncRNAs, we infected HeLa cells with Mycoplasma genitalium (Mg) and Mycoplasma penumoniae (Mp) and assessed the expression of lncRNAs by directional RNA-seq analysis.",What is the relation between Mg and Mycoplasma?,positive
Cas,Streptomyces,The clustered regularly interspaced short palindromic repeat (CRISPR)/CRISPR-associated (Cas) system has revolutionized the translation of enormous genomic potential into the discovery of secondary metabolites as the most efficient genetic engineering tool for Streptomyces.,What is the relation between Cas and Streptomyces?,relate
Cas,Streptomyces,"In this review, the current status of CRISPR/Cas applications in Streptomyces is summarized, with particular focus on the identification of secondary metabolite biosynthesis gene clusters and their potential applications.This review summarizes the broad range of CRISPR/Cas applications in Streptomyces for natural product discovery and production.",What is the relation between Cas and Streptomyces?,relate
Cas,Streptomyces,ONE-SENTENCE SUMMARY: This review summarizes the broad range of CRISPR/Cas applications in Streptomyces for natural product discovery and production.,What is the relation between Cas and Streptomyces?,relate
hypercholesterolemia,Lactobacillus plantarum,"The objective of this study was to assess the effect of Lactobacillus plantarum strains CECT7527, CECT7528, and CECT7529 (LP) on the serum lipids, cardiovascular parameters, and fecal gut microbiota composition in patients with mild hypercholesterolemia.",What is the relation between hypercholesterolemia and Lactobacillus plantarum?,relate
hypercholesterolemia,Lactobacillus,"The objective of this study was to assess the effect of Lactobacillus plantarum strains CECT7527, CECT7528, and CECT7529 (LP) on the serum lipids, cardiovascular parameters, and fecal gut microbiota composition in patients with mild hypercholesterolemia.",What is the relation between hypercholesterolemia and Lactobacillus?,relate
UC,Proteobacteria,"There were five major phyla in both groups: Firmicutes (UC patients: 51.12%; healthy controls: 46.90%), Bacteroidota (UC patients: 37.04%; healthy controls: 40.34%), Proteobacteria (UC patients: 6.01%; healthy controls: 11.05%), Actinobacteriota (UC patients: 5.71%; healthy controls: 1.56%), and Desulfobacteriota (UC patients: 0.13%; healthy controls: 0.14%).",What is the relation between UC and Proteobacteria?,relate
UC,Firmicutes,"There were five major phyla in both groups: Firmicutes (UC patients: 51.12%; healthy controls: 46.90%), Bacteroidota (UC patients: 37.04%; healthy controls: 40.34%), Proteobacteria (UC patients: 6.01%; healthy controls: 11.05%), Actinobacteriota (UC patients: 5.71%; healthy controls: 1.56%), and Desulfobacteriota (UC patients: 0.13%; healthy controls: 0.14%).",What is the relation between UC and Firmicutes?,relate
ten,Staphylococcus epidermidis,The 3 kDa fraction of ten individual clones demonstrated promising biofilm-preventing activities against Klebsiella oxytoca and Staphylococcus epidermidis.,What is the relation between ten and Staphylococcus epidermidis?,positive
ten,Klebsiella oxytoca,The 3 kDa fraction of ten individual clones demonstrated promising biofilm-preventing activities against Klebsiella oxytoca and Staphylococcus epidermidis.,What is the relation between ten and Klebsiella oxytoca?,negative
ten,Staphylococcus,The 3 kDa fraction of ten individual clones demonstrated promising biofilm-preventing activities against Klebsiella oxytoca and Staphylococcus epidermidis.,What is the relation between ten and Staphylococcus?,positive
ten,Klebsiella,The 3 kDa fraction of ten individual clones demonstrated promising biofilm-preventing activities against Klebsiella oxytoca and Staphylococcus epidermidis.,What is the relation between ten and Klebsiella?,negative
COPD,Burkholderia,"It reduced the abundance of pathogens, such as Burkholderia, in the airway of COPD patients and increased levels of symbiotic bacteria, such as Prevotella and Veillonella.",What is the relation between COPD and Burkholderia?,negative
COPD,Veillonella,"It reduced the abundance of pathogens, such as Burkholderia, in the airway of COPD patients and increased levels of symbiotic bacteria, such as Prevotella and Veillonella.",What is the relation between COPD and Veillonella?,negative
COPD,Prevotella,"It reduced the abundance of pathogens, such as Burkholderia, in the airway of COPD patients and increased levels of symbiotic bacteria, such as Prevotella and Veillonella.",What is the relation between COPD and Prevotella?,negative
COPD,Lachnospiraceae,"The proportions of Blautia, Ruminococcus, and Lachnospiraceae in the gut were increased in COPD patients after erythromycin treatment.",What is the relation between COPD and Lachnospiraceae?,positive
COPD,Ruminococcus,"The proportions of Blautia, Ruminococcus, and Lachnospiraceae in the gut were increased in COPD patients after erythromycin treatment.",What is the relation between COPD and Ruminococcus?,positive
COPD,Blautia,"The proportions of Blautia, Ruminococcus, and Lachnospiraceae in the gut were increased in COPD patients after erythromycin treatment.",What is the relation between COPD and Blautia?,positive
influenza,Staphylococcus,"Based on the clinical observations, 2.5-D airway epithelial organoids cultured at the air-liquid interface (ALI) were used to simulate the effects of VD treatment in the development of airway epithelium and the modulation of the host responses against influenza H1N1 virus (representing viral infections) and Staphylococcus aureus (representing bacterial infections) infections in the airway.",What is the relation between influenza and Staphylococcus?,positive
influenza,Staphylococcus,"Under infectious conditions, VD treatment protected the organoids against influenza H1N1 virus and Staphylococcus aureus invasions by reinforcing the respiratory host defenses, including upregulation of LL37, suppression (or inhibition) of proinflammatory cytokines, strengthening of epithelial integrity, and mucociliary clearance.",What is the relation between influenza and Staphylococcus?,negative
influenza,Staphylococcus,Vitamin D promotes epithelial tissue repair and host defense responses against influenza H1N1 and Staphylococcus aureus infections.,What is the relation between influenza and Staphylococcus?,positive
infectious diseases,Mycobacterium,"Tuberculosis is the number one killer of infectious diseases caused by a single microbe, namely Mycobacterium tuberculosis (Mtb).",What is the relation between infectious diseases and Mycobacterium?,relate
tuberculosis,Mycobacterium,"Tuberculosis is the number one killer of infectious diseases caused by a single microbe, namely Mycobacterium tuberculosis (Mtb).",What is the relation between tuberculosis and Mycobacterium?,relate
pneumonia,Nocardia transvalensis,CASE PRESENTATION: We report a first case of community acquired pneumonia with asymptomatic disseminated brain abscess due to Nocardia transvalensis/wallacei and farcinica in an immunocompetent man.,What is the relation between pneumonia and Nocardia transvalensis?,positive
pneumonia,Nocardia,CASE PRESENTATION: We report a first case of community acquired pneumonia with asymptomatic disseminated brain abscess due to Nocardia transvalensis/wallacei and farcinica in an immunocompetent man.,What is the relation between pneumonia and Nocardia?,positive
Salmonella infection,Salmonella,"Here, we found that after persister formation in macrophages, host reactive nitrogen species (RNS) produced in response to Salmonella infection lock persisters in growth arrest by intoxicating their TCA cycle, lowering cellular respiration and ATP production.",What is the relation between Salmonella infection and Salmonella?,positive
Chlamydia trachomatis,Chlamydia trachomatis,We implemented the ML pipeline to determine the predictive potential of clinical and immunoproteome antibody data for outcomes associated with Chlamydia trachomatis (Ct) infection collected from 222 cis-gender females with high Ct exposure.,What is the relation between Chlamydia trachomatis and Chlamydia trachomatis?,relate
Chlamydia trachomatis,Chlamydia,We implemented the ML pipeline to determine the predictive potential of clinical and immunoproteome antibody data for outcomes associated with Chlamydia trachomatis (Ct) infection collected from 222 cis-gender females with high Ct exposure.,What is the relation between Chlamydia trachomatis and Chlamydia?,relate
RA,Succinivibrionaceae,"Unclassified genera in Bacteroidales (15.9鈥壜扁€?.74% relative abundance; RA) were more abundant (P鈥?鈥?.01) in the rumen fluid of carrot-fed lambs, while unclassified taxa in the Succinivibrionaceae family (11.1鈥壜扁€?.85% RA) were greater (P鈥?鈥?.01) in the control.",What is the relation between RA and Succinivibrionaceae?,negative
RA,Bacteroidales,"Unclassified genera in Bacteroidales (15.9鈥壜扁€?.74% relative abundance; RA) were more abundant (P鈥?鈥?.01) in the rumen fluid of carrot-fed lambs, while unclassified taxa in the Succinivibrionaceae family (11.1鈥壜扁€?.85% RA) were greater (P鈥?鈥?.01) in the control.",What is the relation between RA and Bacteroidales?,negative
APS,Lactobacillus,"Cohousing (CH) experiments further confirmed that APS induced the IL-22 signaling pathway by increasing the abundance of Lactobacillus, thereby promoting the regeneration of ISCs.",What is the relation between APS and Lactobacillus?,negative
sepsis,Raoultella ornithinolytica,We present and discuss a case of sepsis caused by a rare multi-drug resistant bacterium Raoultella ornithinolytica.,What is the relation between sepsis and Raoultella ornithinolytica?,positive
sepsis,Raoultella,We present and discuss a case of sepsis caused by a rare multi-drug resistant bacterium Raoultella ornithinolytica.,What is the relation between sepsis and Raoultella?,positive
sepsis,Raoultella ornithinolytica,"Few cases of resistant, extended-spectrum beta-lactamase (ESBL) producing Raoultella ornithinolytica have been reported to cause sepsis worldwide.",What is the relation between sepsis and Raoultella ornithinolytica?,positive
sepsis,Raoultella,"Few cases of resistant, extended-spectrum beta-lactamase (ESBL) producing Raoultella ornithinolytica have been reported to cause sepsis worldwide.",What is the relation between sepsis and Raoultella?,positive
colorectal cancer,archaea,"BACKGROUND AND AIMS: Gut microbial imbalances are linked to colorectal cancer (CRC), but archaea's role remains underexplored.",What is the relation between colorectal cancer and archaea?,relate
cancer,archaea,"BACKGROUND AND AIMS: Gut microbial imbalances are linked to colorectal cancer (CRC), but archaea's role remains underexplored.",What is the relation between cancer and archaea?,relate
CRC,archaea,"BACKGROUND AND AIMS: Gut microbial imbalances are linked to colorectal cancer (CRC), but archaea's role remains underexplored.",What is the relation between CRC and archaea?,relate
CRC,acidiphilum,We conducted a biostatistical analysis to investigate the relationship between Candidatus Mancarchaeum acidiphilum (DPANN superphylum) and other archaeal species associated with CRC.,What is the relation between CRC and acidiphilum?,relate
CRC,Methanobrevibacter smithii,"RESULTS: Our analysis identified enrichment of methanogenic archaea in healthy subjects, with an exception for Methanobrevibacter smithii, which correlated with CRC.",What is the relation between CRC and Methanobrevibacter smithii?,positive
CRC,Methanobrevibacter,"RESULTS: Our analysis identified enrichment of methanogenic archaea in healthy subjects, with an exception for Methanobrevibacter smithii, which correlated with CRC.",What is the relation between CRC and Methanobrevibacter?,positive
CRC,archaea,"RESULTS: Our analysis identified enrichment of methanogenic archaea in healthy subjects, with an exception for Methanobrevibacter smithii, which correlated with CRC.",What is the relation between CRC and archaea?,positive
CRC,Natrinema,"Notably, CRC showed a strong association with archaeal species, particularly Natrinema sp.",What is the relation between CRC and Natrinema?,relate
CRC,archaea,"Furthermore, the DPANN archaeon exhibited a significant correlation with other CRC-associated archaea (p < 0.001).",What is the relation between CRC and archaea?,relate
CRC,Halobacteria,"CONCLUSIONS: The archaeomes of CRC patients show identifiable alterations, including a decline in methanogens and an increase in Halobacteria species.",What is the relation between CRC and Halobacteria?,positive
CRC,acidiphilum,"MvhB-type polyferredoxin, linked with CRC and species like Candidatus Mancarchaeum acidiphilum, Natrinema sp.",What is the relation between CRC and acidiphilum?,relate
CRC,Natrinema,"MvhB-type polyferredoxin, linked with CRC and species like Candidatus Mancarchaeum acidiphilum, Natrinema sp.",What is the relation between CRC and Natrinema?,relate
CRC,archaea,"Archaeal proteins may also offer gut protection, underscoring archaea's role in CRC dynamics.",What is the relation between CRC and archaea?,relate
HCC,Veillonella,"Signature bacterial taxa could serve as non-invasive biomarkers, of which Romboutsia and Veillonella were identified as differential taxa in fecal samples from patients with HCC compared to healthy controls.",What is the relation between HCC and Veillonella?,relate
HCC,Fusobacterium,"Additionally, the combination of Romboutsia and Veillonella (AUC聽=聽0.812) or the grouping of Fusobacterium, Faccalibacterium, and Peptostreptococcacae together (AUC聽=聽0.762) exhibited promising outcomes for the diagnosis of HCC.",What is the relation between HCC and Fusobacterium?,relate
HCC,Veillonella,"Additionally, the combination of Romboutsia and Veillonella (AUC聽=聽0.812) or the grouping of Fusobacterium, Faccalibacterium, and Peptostreptococcacae together (AUC聽=聽0.762) exhibited promising outcomes for the diagnosis of HCC.",What is the relation between HCC and Veillonella?,relate
HCC,Veillonella,"Differential taxa Romboutsia, Veillonella, and Peptostreptococcacae could be tested for identification of HCC.",What is the relation between HCC and Veillonella?,relate
