DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
nuts,Enterococcus caccae,"Soy isoflavones, cocoa flavanols, blackberry and raspberry anthocyanins, tea or nuts tannins, and a long list of polyphenols, boost the growth of beneficial symbionts such as Lactobacillus sp. [219], and inhibit opportunistic pathogens such as Enterococcus caccae [225].",What is the relationship between nuts and Enterococcus caccae?,negative
Soy,Lactobacillus spp.,"Soy isoflavones, cocoa flavanols, blackberry and raspberry anthocyanins, tea or nuts tannins, and a long list of polyphenols, boost the growth of beneficial symbionts such as Lactobacillus sp. [219], and inhibit opportunistic pathogens such as Enterococcus caccae [226].",What is the relationship between Soy and Lactobacillus spp.?,positive
Soy,Enterococcus caccae,"Soy isoflavones, cocoa flavanols, blackberry and raspberry anthocyanins, tea or nuts tannins, and a long list of polyphenols, boost the growth of beneficial symbionts such as Lactobacillus sp. [219], and inhibit opportunistic pathogens such as Enterococcus caccae [227].",What is the relationship between Soy and Enterococcus caccae?,negative
Vitamin A,Proteobacteria(Pseudomonadota),"Vitamin A (Vit A) and vitamin D (Vit D) play fundamental roles in the effective functioning of the immune system and intestinal homeostasis, modulating microbiota and strengthening barrier function [262].The outcome of a deficiency in these two micronutrients includes Proteobacteria increase and drastic Bacteroidetes reduction, besides the much lower expression of claudins and occludins",What is the relationship between Vitamin A and Proteobacteria(Pseudomonadota)?,positive
Vitamin A,Bacteroidetes,"Vitamin A (Vit A) and vitamin D (Vit D) play fundamental roles in the effective functioning of the immune system and intestinal homeostasis, modulating microbiota and strengthening barrier function [263].The outcome of a deficiency in these two micronutrients includes Proteobacteria increase and drastic Bacteroidetes reduction, besides the much lower expression of claudins and occludins",What is the relationship between Vitamin A and Bacteroidetes?,negative
vitamin D,Proteobacteria(Pseudomonadota),"Vitamin A (Vit A) and vitamin D (Vit D) play fundamental roles in the effective functioning of the immune system and intestinal homeostasis, modulating microbiota and strengthening barrier function [264].The outcome of a deficiency in these two micronutrients includes Proteobacteria increase and drastic Bacteroidetes reduction, besides the much lower expression of claudins and occludins",What is the relationship between vitamin D and Proteobacteria(Pseudomonadota)?,positive
vitamin D,drastic Bacteroidetes,"Vitamin A (Vit A) and vitamin D (Vit D) play fundamental roles in the effective functioning of the immune system and intestinal homeostasis, modulating microbiota and strengthening barrier function [265].The outcome of a deficiency in these two micronutrients includes Proteobacteria increase and drastic Bacteroidetes reduction, besides the much lower expression of claudins and occludins",What is the relationship between vitamin D and drastic Bacteroidetes?,negative
Riboflavin (B2),Enterobacteriaceae,"Riboflavin (B2) (highly present in beef, oats, yogurt, milk and almonds) exhibits antioxidant, anti-aging, anti-inflammatory and anti-cancer features [293]. Some studies show the advantages of its supplementation in terms of disease status, such as for Crohn’s, entailing a decrease in Enterobacteriaceae [294] (Julius Z H von Martels et al. 2020), thus ameliorating dysbiosis status.",What is the relationship between Riboflavin (B2) and Enterobacteriaceae?,negative
Pantothenic acid (B5),claudins,"Pantothenic acid (B5) (from beef liver, cereals, sunflower seeds, chicken, tuna, avocado, etc.) is able to regulate intestinal immunity, interfering as well with the mRNA of tight junctions, NF-kB and NRF2. An optimal supply provides the strengthening of barrier functions, increasing the expression of claudins and occludins",What is the relationship between Pantothenic acid (B5) and claudins?,positive
Pantothenic acid (B5),occludins,"Pantothenic acid (B5) (from beef liver, cereals, sunflower seeds, chicken, tuna, avocado, etc.) is able to regulate intestinal immunity, interfering as well with the mRNA of tight junctions, NF-kB and NRF3. An optimal supply provides the strengthening of barrier functions, increasing the expression of claudins and occludins",What is the relationship between Pantothenic acid (B5) and occludins?,positive
added sugars,Lachnobacterium,"In addition, the deleterious effects of the consumption of added sugars, and particularly from sugar-sweetened drinks, have been reported in the gut microbiota, promoting an increased Firmicutes/Bacteroidetes ratio and reducing the proportion of favorable butyrate-producers such as Lachnobacterium [354]",What is the relationship between added sugars and Lachnobacterium?,negative
refined palm oil (PO),Erysipelotrichaceae,"Refined olive oil, contrary to non-refined EVOO, is associated with a growth of non-beneficial bacteria from the Desulfovibrionaceae, Spiroplasmataceae, and Helicobacteraceae families, along with a reduction in favorable Erysipelotrichaceae and Sutterellaceae, with negative implications for the host’s immune system",What is the relationship between refined palm oil (PO) and Erysipelotrichaceae?,negative
refined palm oil (PO),Sutterellaceae,"Refined olive oil, contrary to non-refined EVOO, is associated with a growth of non-beneficial bacteria from the Desulfovibrionaceae, Spiroplasmataceae, and Helicobacteraceae families, along with a reduction in favorable Erysipelotrichaceae and Sutterellaceae, with negative implications for the host’s immune system",What is the relationship between refined palm oil (PO) and Sutterellaceae?,negative
sunflower oil,Akkermansia muciniphilla,"sunflower oil induced Sphingomonas and Neisseria spp., while limiting the growth of Akkermansia muciniphilla and Bifidobacterium.",What is the relationship between sunflower oil and Akkermansia muciniphilla?,negative
sunflower oil,Bifidobacterium,"sunflower oil induced Sphingomonas and Neisseria spp., while limiting the growth of Akkermansia muciniphilla and Bifidobacterium.",What is the relationship between sunflower oil and Bifidobacterium?,negative
coconut oil,Akkermansia muciniphilla,"In the same way, coconut oil restricts Akkermansia muciniphilla abundance, while enhancing Staphylococcus, Prevotella and Bacteroides spp.",What is the relationship between coconut oil and Akkermansia muciniphilla?,negative
coconut oil,Staphylococcus,"In the same way, coconut oil restricts Akkermansia muciniphilla abundance, while enhancing Staphylococcus, Prevotella and Bacteroides spp.",What is the relationship between coconut oil and Staphylococcus?,positive
coconut oil,Prevotella,"In the same way, coconut oil restricts Akkermansia muciniphilla abundance, while enhancing Staphylococcus, Prevotella and Bacteroides spp.",What is the relationship between coconut oil and Prevotella?,positive
coconut oil,Bacteroides spp.,"In the same way, coconut oil restricts Akkermansia muciniphilla abundance, while enhancing Staphylococcus, Prevotella and Bacteroides spp.",What is the relationship between coconut oil and Bacteroides spp.?,positive
high salt diets,Lactobacillus spp.,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [395], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Lactobacillus spp.?,negative
high salt diets,Oscillibacter,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [396], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Oscillibacter?,negative
high salt diets,Pseudoflavonifractor,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [397], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Pseudoflavonifractor?,negative
high salt diets,Clostridium XIVa Johnsonella,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [398], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Clostridium XIVa Johnsonella?,negative
high salt diets,Rothia,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [399], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Rothia?,negative
high salt diets,Parasutterella spp.,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [400], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Parasutterella spp.?,positive
high salt diets,Erwinia genus,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [401], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Erwinia genus?,positive
high salt diets,Christensenellaceae,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [402], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Christensenellaceae?,positive
high salt diets,Corynebacteriaceae Lachnospiraceae,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [403], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Corynebacteriaceae Lachnospiraceae?,positive
high salt diets,Ruminococcus,"In this sense, Wilck et al. [392] have proven the direct effects of high salt levels in the gut microbiota-Th17 axis, particularly in reducing the populations of Lactobacillus sp., which could be associated with the altered production of SCFA identified in high-salt diets [393,394]. Other populations negatively affected include Oscillibacter, Pseudoflavonifractor, Clostridium XIVa Johnsonella and Rothia, while other species are increased, including Parasutterella spp. Erwinia genus, Christensenellaceae, Corynebacteriaceae Lachnospiraceae and Ruminococcus [404], which could aid in explaining the unfavorable effects of high-salt diets on the organism",What is the relationship between high salt diets and Ruminococcus?,positive
Plant-based diet,Bacteroidetes(Bacteroidia),Plant-based diet ↑ Microbial richness and biodiversityPredominant phylaBacteroidetesandActinobacteria,What is the relationship between Plant-based diet and Bacteroidetes(Bacteroidia)?,positive
Plant-based diet,Actinobacteria(Actinomycetota),Plant-based diet ↑ Microbial richness and biodiversityPredominant phylaBacteroidetesandActinobacteria,What is the relationship between Plant-based diet and Actinobacteria(Actinomycetota)?,positive
Nuts,Faecalibacterium,"Nuts “Prebiotic effect” on the genus level↑Firmicutesgenera, including some butyrate-produces (e.g.,FaecalibacteriumandRoseburia),ClostridiumandDialister",What is the relationship between Nuts and Faecalibacterium?,positive
Nuts,Roseburia,"Nuts “Prebiotic effect” on the genus level↑Firmicutesgenera, including some butyrate-produces (e.g.,FaecalibacteriumandRoseburia),ClostridiumandDialister",What is the relationship between Nuts and Roseburia?,positive
Nuts,Clostridium,"Nuts “Prebiotic effect” on the genus level↑Firmicutesgenera, including some butyrate-produces (e.g.,FaecalibacteriumandRoseburia),ClostridiumandDialister",What is the relationship between Nuts and Clostridium?,positive
Nuts,Dialister,"Nuts “Prebiotic effect” on the genus level↑Firmicutesgenera, including some butyrate-produces (e.g.,FaecalibacteriumandRoseburia),ClostridiumandDialister",What is the relationship between Nuts and Dialister?,positive
Fiber and prebiotics,Bifidobacterium,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Bifidobacterium?,positive
Fiber and prebiotics,Lactobacillus,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Lactobacillus?,positive
Fiber and prebiotics,Akkermansia,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Akkermansia?,positive
Fiber and prebiotics,Faecalibacterium,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Faecalibacterium?,positive
Fiber and prebiotics,Roseburia,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Roseburia?,positive
Fiber and prebiotics,Bacteroides,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Bacteroides?,positive
Fiber and prebiotics,Prevotella,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Prevotella?,positive
Fiber and prebiotics,Enterobacteriaceae,"Fiber and prebiotics, Depending on type of dietary fiber; generally ↑ bacterial diversity and abundance of beneficial microbes Potential predominance ofPrevotella:Bacteroides↑ Beneficial bacteria (i.e.,Bifidobacterium, Lactobacillus, Akkermansia, Faecalibacterium, Roseburia, Bacteroides, Prevotella)↓ Potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between Fiber and prebiotics and Enterobacteriaceae?,negative
Plant-based protein,Bifidobacterium,"Plant-based protein ↑Bifidobacterium, Roseburia, andLactobacillus↓ Pathogens such asB. fragilisandC. perfringens",What is the relationship between Plant-based protein and Bifidobacterium?,positive
Plant-based protein,Roseburia,"Plant-based protein ↑Bifidobacterium, Roseburia, andLactobacillus↓ Pathogens such asB. fragilisandC. perfringens",What is the relationship between Plant-based protein and Roseburia?,positive
Plant-based protein,Lactobacillus,"Plant-based protein ↑Bifidobacterium, Roseburia, andLactobacillus↓ Pathogens such asB. fragilisandC. perfringens",What is the relationship between Plant-based protein and Lactobacillus?,positive
Plant-based protein,Bacteroides fragilis,"Plant-based protein ↑Bifidobacterium, Roseburia, andLactobacillus↓ Pathogens such asB. fragilisandC. perfringens",What is the relationship between Plant-based protein and Bacteroides fragilis?,negative
Plant-based protein,C. perfringens(Clostridium perfringens),"Plant-based protein ↑Bifidobacterium, Roseburia, andLactobacillus↓ Pathogens such asB. fragilisandC. perfringens",What is the relationship between Plant-based protein and C. perfringens(Clostridium perfringens)?,negative
high-fiber diet,Bifidobacterium sp.,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Bifidobacterium sp.?,positive
high-fiber diet,Lactobacillus sp.(Lactobacillus sp.),"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Lactobacillus sp.(Lactobacillus sp.)?,positive
high-fiber diet,Akkermansia sp.,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Akkermansia sp.?,positive
high-fiber diet,Faecalibacterium sp.,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Faecalibacterium sp.?,positive
high-fiber diet,Roseburia sp.,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Roseburia sp.?,positive
high-fiber diet,Bacteroides sp.,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Bacteroides sp.?,positive
high-fiber diet,Prevotella,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Prevotella?,positive
high-fiber diet,Enterobacteriaceae,"It is generally accepted that the consumption of a high-fiber diet promotes an increase in bacterial diversity and leads to a bloom in the growth of beneficial bacteria (i.e.,Bifidobacteriumsp.,Lactobacillussp.,Akkermansiasp.,Faecalibacteriumsp.,Roseburiasp.,Bacteroidessp., andPrevotella) as well as a reduction in potentially pathogenic bacteria (e.g.,Enterobacteriaceae)",What is the relationship between high-fiber diet and Enterobacteriaceae?,negative
high-fiber diet,Peptostreptococcaceae,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,79).",What is the relationship between high-fiber diet and Peptostreptococcaceae?,positive
high-fiber diet,Peptostreptococcaceae,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,80).",What is the relationship between high-fiber diet and Peptostreptococcaceae?,positive
high-fiber diet,Clostridiaceae,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,80).",What is the relationship between high-fiber diet and Clostridiaceae?,positive
high-fiber diet,Akkermansia,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,81).",What is the relationship between high-fiber diet and Akkermansia?,positive
high-fiber diet,Parabacteroides,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,82).",What is the relationship between high-fiber diet and Parabacteroides?,positive
high-fiber diet,Lactobacillus,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,83).",What is the relationship between high-fiber diet and Lactobacillus?,positive
high-fiber diet,Clostridium,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,84).",What is the relationship between high-fiber diet and Clostridium?,positive
high-fiber diet,Eisenbergiella,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,85).",What is the relationship between high-fiber diet and Eisenbergiella?,positive
high-fiber diet,Marvinbryantia,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,86).",What is the relationship between high-fiber diet and Marvinbryantia?,positive
high-fiber diet,Romboutsia,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,87).",What is the relationship between high-fiber diet and Romboutsia?,positive
high-fiber diet,Helicobacter,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,88).",What is the relationship between high-fiber diet and Helicobacter?,positive
high-fiber diet,Enterococcus,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,89).",What is the relationship between high-fiber diet and Enterococcus?,positive
high-fiber diet,Desulfovibrio,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,90).",What is the relationship between high-fiber diet and Desulfovibrio?,positive
high-fiber diet,Sutterellaceae,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,91).",What is the relationship between high-fiber diet and Sutterellaceae?,negative
high-fiber diet,Lactobacillaceae,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,92).",What is the relationship between high-fiber diet and Lactobacillaceae?,negative
