DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
cucumber,Bacillus,"RESULTS: First, cucumber plants treated with biocontrol Bacillus 1JN2 reduced the disease severity of Fusarium wilt by 60%.",What is the relation between cucumber and Bacillus?,negative
cucumber,Bacillus,"Second, It was found that the bacterial diversity in the rhizosphere of cucumber was significantly increased in both the strain treatment group and the amino acid mixture treatment group, The number of Bacillus was the largest in all dominant populations, exceeded 20% in all treatment groups.",What is the relation between cucumber and Bacillus?,negative
water,bacillus,Epifluorescence microscopy and scanning electron microscopy imaging revealed potential coccoid and bacillus microbial morphologies in water samples and putative cells or calcite spherules in the CCCs.,What is the relation between water and bacillus?,relate
green tea,Pseudomonas aeruginosa,"In the antimicrobial activity test, green tea showed a maximum diameter (22.0 ± 1.1 mm) zone of inhibition against Klebsiella pneumoniae whereas BT-8 showed 22.0 ± 2.5 mm against Pseudomonas aeruginosa.",What is the relation between green tea and Pseudomonas aeruginosa?,negative
green tea,Pseudomonas,"In the antimicrobial activity test, green tea showed a maximum diameter (22.0 ± 1.1 mm) zone of inhibition against Klebsiella pneumoniae whereas BT-8 showed 22.0 ± 2.5 mm against Pseudomonas aeruginosa.",What is the relation between green tea and Pseudomonas?,negative
green tea,Klebsiella,"In the antimicrobial activity test, green tea showed a maximum diameter (22.0 ± 1.1 mm) zone of inhibition against Klebsiella pneumoniae whereas BT-8 showed 22.0 ± 2.5 mm against Pseudomonas aeruginosa.",What is the relation between green tea and Klebsiella?,negative
tea,Pseudomonas aeruginosa,"In the antimicrobial activity test, green tea showed a maximum diameter (22.0 ± 1.1 mm) zone of inhibition against Klebsiella pneumoniae whereas BT-8 showed 22.0 ± 2.5 mm against Pseudomonas aeruginosa.",What is the relation between tea and Pseudomonas aeruginosa?,negative
tea,Pseudomonas,"In the antimicrobial activity test, green tea showed a maximum diameter (22.0 ± 1.1 mm) zone of inhibition against Klebsiella pneumoniae whereas BT-8 showed 22.0 ± 2.5 mm against Pseudomonas aeruginosa.",What is the relation between tea and Pseudomonas?,negative
tea,Klebsiella,"In the antimicrobial activity test, green tea showed a maximum diameter (22.0 ± 1.1 mm) zone of inhibition against Klebsiella pneumoniae whereas BT-8 showed 22.0 ± 2.5 mm against Pseudomonas aeruginosa.",What is the relation between tea and Klebsiella?,negative
mussels,Vibrio,"However, combined stress from microplastics and Vibrio led to immune dysregulation in mussels, resulting in intestinal damage and microbiome disruption.",What is the relation between mussels and Vibrio?,positive
lettuce,Xanthomonas hortorum,IMPORTANCE: Bacterial leaf spot of lettuce caused by Xanthomonas hortorum pv.,What is the relation between lettuce and Xanthomonas hortorum?,positive
lettuce,Xanthomonas,IMPORTANCE: Bacterial leaf spot of lettuce caused by Xanthomonas hortorum pv.,What is the relation between lettuce and Xanthomonas?,positive
rice,Xanthomonas oryzae,"A cultivation approach on rice samples led to the isolation of bacterial strains of these two genera, which were further tested as bioinoculants on rice leaves under controlled conditions, showing for some of them a significant reduction (up to 77%) in symptoms induced by Xanthomonas oryzae pv.",What is the relation between rice and Xanthomonas oryzae?,negative
rice,Xanthomonas,"A cultivation approach on rice samples led to the isolation of bacterial strains of these two genera, which were further tested as bioinoculants on rice leaves under controlled conditions, showing for some of them a significant reduction (up to 77%) in symptoms induced by Xanthomonas oryzae pv.",What is the relation between rice and Xanthomonas?,negative
water,Bacillus,"The treatments included CK (sterilized water), LP (Lactiplantibacillus plantarum B90), LPBS (LP combined with Bacillus subtilis C5B1), and LPSC (LP combined with Saccharomyces cerevisiae LO-1), followed by 60 days of fermentation.",What is the relation between water and Bacillus?,negative
cake,Pseudomonas,"Furthermore, soil-borne disease surveillance and nutritional quality of Lagenaria siceraria, fluorescent Pseudomonas strain (EFP56) and Trichoderma harzianum were combined with neem cake and cotton cake to check their efficacy.",What is the relation between cake and Pseudomonas?,negative
fish,Bacillus,"The strain of Bacillus rugosus that was examined and coded NM007 showed promising probiotic characteristics that could help fish digest and utilize their feed more efficiently, reduce feed waste, and improve their digestive systems.",What is the relation between fish and Bacillus?,negative
water,Lactobacillus acidophilus,"In this work, the SCNE of probiotic Lactobacillus acidophilus with water-insoluble luteolin and Fe3+ ions is achieved by the vortex-assisted, biphasic water-oil system.",What is the relation between water and Lactobacillus acidophilus?,negative
water,Lactobacillus,"In this work, the SCNE of probiotic Lactobacillus acidophilus with water-insoluble luteolin and Fe3+ ions is achieved by the vortex-assisted, biphasic water-oil system.",What is the relation between water and Lactobacillus?,negative
tomato,Bacteroidetes,"The mice administered with HHP-processed tomato juice were characterized by the enrichment of Bacteroidetes, Alistieps, and Faecalibaculum compared with those administered with HTST-processed tomato juice.",What is the relation between tomato and Bacteroidetes?,negative
water,Klebsiella,"In this study, a highly chlorine resistant, biofilm-forming Klebsiella pneumoniae was isolated from the cooling water system of a nuclear power plant employing continuous chlorination for biofilm control.",What is the relation between water and Klebsiella?,positive
mushrooms,actinobacteria,"To accomplish environmentally safe, benign culturing that has advantages over other methods to reduce the graphene oxide (GO), extracellular metabolites from actinobacteria associated with mushrooms were used for the first time.",What is the relation between mushrooms and actinobacteria?,negative
water,archaea,"In a long-term soil warming experiment in a Subarctic grassland, we investigated how active populations of bacteria and archaea responded to elevated soil temperatures (+6°C) and the influence of plant roots, by measuring taxon-specific growth rates using quantitative stable isotope probing and 18O water vapor equilibration.",What is the relation between water and archaea?,positive
CHIPS,Streptococcus pyogenes,"As part of the Controlled Human Infection with Penicillin for Streptococcus pyogenes (CHIPS) trial, we explored the potential for transmission among participants deliberately infected with the Strep A emm75 strain.",What is the relation between CHIPS and Streptococcus pyogenes?,positive
CHIPS,Streptococcus,"As part of the Controlled Human Infection with Penicillin for Streptococcus pyogenes (CHIPS) trial, we explored the potential for transmission among participants deliberately infected with the Strep A emm75 strain.",What is the relation between CHIPS and Streptococcus?,positive
duck,Actinobacteria,"The results showed that the bacterial communities in the air of duck houses were mainly Actinobacteria, Firmicutes, Proteobactria, Chlamydia, and Bcateroidetes at the phylum level.",What is the relation between duck and Actinobacteria?,relate
duck,Firmicutes,"The results showed that the bacterial communities in the air of duck houses were mainly Actinobacteria, Firmicutes, Proteobactria, Chlamydia, and Bcateroidetes at the phylum level.",What is the relation between duck and Firmicutes?,relate
duck,Chlamydia,"The results showed that the bacterial communities in the air of duck houses were mainly Actinobacteria, Firmicutes, Proteobactria, Chlamydia, and Bcateroidetes at the phylum level.",What is the relation between duck and Chlamydia?,relate
water,Desulfovibrionales,Dominant water cap microbes shifted from methanotrophs and denitrifying/iron-reducing bacteria to functionally versatile sulfur-reducing bacteria (SRB) comprising sulfate-reducing bacteria (Desulfovibrionales) and SOI-reducing/disproportionating bacteria (Campylobacterales and Desulfobulbales).,What is the relation between water and Desulfovibrionales?,relate
water,Campylobacterales,Dominant water cap microbes shifted from methanotrophs and denitrifying/iron-reducing bacteria to functionally versatile sulfur-reducing bacteria (SRB) comprising sulfate-reducing bacteria (Desulfovibrionales) and SOI-reducing/disproportionating bacteria (Campylobacterales and Desulfobulbales).,What is the relation between water and Campylobacterales?,relate
cucumber,Serratia,"In this study, we showed that the Serratia marcescens strain LYGN1 enhanced the growth of cucumber and pepper seedlings in plug seedling cultivation.",What is the relation between cucumber and Serratia?,negative
cucumber,Serratia,"The findings of this study provide evidence for the effects of Serratia marcescens LYGN1 on the cucumber and pepper rhizosphere microbial communities, which also promoted seedling quality in plug seedling cultivation.",What is the relation between cucumber and Serratia?,negative
apple,Erwinia amylovora,"Fire blight, caused by Erwinia amylovora, is a devastating bacterial disease that threatens apple and pear production.",What is the relation between apple and Erwinia amylovora?,positive
apple,Erwinia,"Fire blight, caused by Erwinia amylovora, is a devastating bacterial disease that threatens apple and pear production.",What is the relation between apple and Erwinia?,positive
pear,Erwinia amylovora,"Fire blight, caused by Erwinia amylovora, is a devastating bacterial disease that threatens apple and pear production.",What is the relation between pear and Erwinia amylovora?,positive
pear,Erwinia,"Fire blight, caused by Erwinia amylovora, is a devastating bacterial disease that threatens apple and pear production.",What is the relation between pear and Erwinia?,positive
milk,bifidobacteria,"In this review, we outline the main HMO assimilatory and catabolic strategies employed by infant-associated bifidobacteria, discuss other taxa that exhibit breast milk glycan degradation capacity, and cover HMO-supported cross-feeding interactions and related metabolites that have been described thus far.",What is the relation between milk and bifidobacteria?,relate
bread,Escherichia coli,"The different types of bread with different compositions were analyzed for total viable bacteria, Escherichia coli, Staphylococcus aureus, aerobic and anaerobic spore-forming bacteria, and culturable microscopic fungi.",What is the relation between bread and Escherichia coli?,relate
bread,Staphylococcus,"The different types of bread with different compositions were analyzed for total viable bacteria, Escherichia coli, Staphylococcus aureus, aerobic and anaerobic spore-forming bacteria, and culturable microscopic fungi.",What is the relation between bread and Staphylococcus?,relate
bread,Escherichia,"The different types of bread with different compositions were analyzed for total viable bacteria, Escherichia coli, Staphylococcus aureus, aerobic and anaerobic spore-forming bacteria, and culturable microscopic fungi.",What is the relation between bread and Escherichia?,relate
potato,Staphylococcus warneri,"on rustic potato bread, and Staphylococcus warneri on sliced brown potato bread.",What is the relation between potato and Staphylococcus warneri?,relate
potato,Staphylococcus,"on rustic potato bread, and Staphylococcus warneri on sliced brown potato bread.",What is the relation between potato and Staphylococcus?,relate
bread,Staphylococcus warneri,"on rustic potato bread, and Staphylococcus warneri on sliced brown potato bread.",What is the relation between bread and Staphylococcus warneri?,relate
bread,Staphylococcus,"on rustic potato bread, and Staphylococcus warneri on sliced brown potato bread.",What is the relation between bread and Staphylococcus?,relate
mustard,Escherichia coli,"Two test organisms were successfully applied, Sinapis alba (white mustard) seeds and Escherichia coli (non-pathogenic) bacterial model organisms, and toxicity tests were adapted for the examination of PU-derived substances.",What is the relation between mustard and Escherichia coli?,negative
mustard,Escherichia,"Two test organisms were successfully applied, Sinapis alba (white mustard) seeds and Escherichia coli (non-pathogenic) bacterial model organisms, and toxicity tests were adapted for the examination of PU-derived substances.",What is the relation between mustard and Escherichia?,negative
milk,Clostridium,"Most spore-forming isolates belong to the genera Bacillus or Clostridium, with the latter dominating the enriched MPN tubes of raw milk and bactofugate.",What is the relation between milk and Clostridium?,relate
milk,Bacillus,"Most spore-forming isolates belong to the genera Bacillus or Clostridium, with the latter dominating the enriched MPN tubes of raw milk and bactofugate.",What is the relation between milk and Bacillus?,relate
beans,Bacillus,"Therefore, the isolate Bacillus subtilis strain TW21 can be assessed further for toxicological and ecotoxicological studies and registered by the Pest Control Products Board (PCPB), Kenya, as a biocontrol product against common diseases affecting common beans' production.",What is the relation between beans and Bacillus?,negative
potato,Bacillus amyloliquefaciens,"In this study, the effects of Bacillus amyloliquefaciens QST713 based-product (MINUET™, Bayer) were assessed in terms of yield, soil microbiome, potato peel and petiole nutrient profile as a promising PGPB in a wide range of potato cultivars across the United States of America.",What is the relation between potato and Bacillus amyloliquefaciens?,negative
potato,Bacillus,"In this study, the effects of Bacillus amyloliquefaciens QST713 based-product (MINUET™, Bayer) were assessed in terms of yield, soil microbiome, potato peel and petiole nutrient profile as a promising PGPB in a wide range of potato cultivars across the United States of America.",What is the relation between potato and Bacillus?,negative
almonds,Lachnospiraceae,"Tyzzerella, p253418B5 gut group, Lachnospiraceae UCG001, Geotrichum, Enterococcus, Amnipila and Acetitomaculum genera were unique for almonds.",What is the relation between almonds and Lachnospiraceae?,relate
almonds,Enterococcus,"Tyzzerella, p253418B5 gut group, Lachnospiraceae UCG001, Geotrichum, Enterococcus, Amnipila and Acetitomaculum genera were unique for almonds.",What is the relation between almonds and Enterococcus?,relate
rabbit,Escherichia coli,"The GRC bound to Escherichia coli but not to rabbit red blood cells, despite both having GlcNAc on their surface.",What is the relation between rabbit and Escherichia coli?,relate
rabbit,Escherichia,"The GRC bound to Escherichia coli but not to rabbit red blood cells, despite both having GlcNAc on their surface.",What is the relation between rabbit and Escherichia?,relate
water,Ectothiorhodospiraceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Ectothiorhodospiraceae?,relate
water,Methanobacteriaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Methanobacteriaceae?,positive
water,Methanosarcinaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Methanosarcinaceae?,relate
water,Hydrogenophilaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Hydrogenophilaceae?,positive
water,Desulfohalobiaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Desulfohalobiaceae?,positive
water,Halobacteroidaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Halobacteroidaceae?,positive
water,Halanaerobiaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Halanaerobiaceae?,positive
water,Thermotogaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Thermotogaceae?,positive
water,Nitrospiraceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Nitrospiraceae?,positive
water,Syntrophaceae,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Syntrophaceae?,positive
water,Thermoprotei,"In the injection water samples, amplicon sequence variants (ASVs) belonging to families such as Halanaerobiaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Halobacteroidaceae, Desulfohalobiaceae, and Methanosarcinaceae were dominant, while in the production water samples, ASVs of families such as Thermotogaceae, Nitrospiraceae, Petrotogaceae, Syntrophaceae, Methanobacteriaceae, and Thermoprotei were also dominant.",What is the relation between water and Thermoprotei?,positive
squid,Vibrio,One such model is the symbiosis between the squid Euprymna scolopes and the bacterium Vibrio fischeri.,What is the relation between squid and Vibrio?,relate
rice,Pseudomonas putida,An endophyte Pseudomonas putida ARS1 was isolated from rice grown in arsenic contaminated soil.,What is the relation between rice and Pseudomonas putida?,positive
rice,Pseudomonas,An endophyte Pseudomonas putida ARS1 was isolated from rice grown in arsenic contaminated soil.,What is the relation between rice and Pseudomonas?,positive
barley,Xanthomonas translucens,Pathogenic microorganisms like barley-associated Xanthomonas translucens (Xt) swiftly overtake the inner leaf tissue becoming the dominant microbial community member during disease development.,What is the relation between barley and Xanthomonas translucens?,relate
barley,Xanthomonas,Pathogenic microorganisms like barley-associated Xanthomonas translucens (Xt) swiftly overtake the inner leaf tissue becoming the dominant microbial community member during disease development.,What is the relation between barley and Xanthomonas?,relate
barley,Xanthomonas,"Metabolic shifts in the inner leaf spaces for most plant-microbe interactions are unknown, especially for Xanthomonas species in understudied plants like barley (Hordeum vulgare).",What is the relation between barley and Xanthomonas?,relate
barley,Burkholderia ambifaria,"DOI: 10.1016/j.nmni.2024.101441 PMCID: PMC11209627 PMID: 38939553

Here, we report the genome sequence of Burkholderia ambifaria BCC0191, a biopesticide originally isolated from the barley rhizosphere.",What is the relation between barley and Burkholderia ambifaria?,relate
barley,Burkholderia,"DOI: 10.1016/j.nmni.2024.101441 PMCID: PMC11209627 PMID: 38939553

Here, we report the genome sequence of Burkholderia ambifaria BCC0191, a biopesticide originally isolated from the barley rhizosphere.",What is the relation between barley and Burkholderia?,relate
millet,Dietzia,"Upon single inoculation, Peribacillus asahii RC16 and Dietzia cinnamea 55 significantly increased pearl millet growth and yield parameters.",What is the relation between millet and Dietzia?,negative
millet,Dietzia,"Additionally, the double inoculation of Dietzia cinnamea 55 and MKAG7 significantly increased shoot length, dry weight, and seed head weight of pearl millet.",What is the relation between millet and Dietzia?,negative
milk,Oscillospiraceae,"Notably, the random forest species abundance statistics identified Oscillospiraceae V9D2013 as a biomarker related to milk yield.",What is the relation between milk and Oscillospiraceae?,relate
water,Microcystis,"From the water microbiomes of planktonic biomass from Lake Taihu, a large eutrophic freshwater lake in China that experiences annual Microcystis-dominated harmful algal blooms (HABs), we recovered 41,997 unique viral clusters spanning a wide taxonomic range, including 15,139 Caudovirales clusters targeting bacteria and 1,044 NCLDV clusters targeting eukaryotes.",What is the relation between water and Microcystis?,relate
water,Firmicutes,"Simultaneously, the important role of Firmicutes among phoD-harboring microorganism in water-saving irrigated rice paddies was detected.",What is the relation between water and Firmicutes?,relate
rice,Firmicutes,"Simultaneously, the important role of Firmicutes among phoD-harboring microorganism in water-saving irrigated rice paddies was detected.",What is the relation between rice and Firmicutes?,relate
tea,Bacillus,"Analyses of across-ecological niches of the microbial community associated with tea plants revealed that soil bacteria serve as a significant reservoir for endophytic bacteria in tea plants, Bacillus may play a crucial role in shaping the bacterial community across-ecological niche within the tea plants with higher tea polyphenol levels.",What is the relation between tea and Bacillus?,negative
tea,Methylobacterium,"A closer examination was conducted on the microbial community of 'Zhuyeqi', further analyses of its endophytic bacteria indicated that its endophytic microbial community harbored a greater abundance of biomarkers, particularly among bacteria, and the enriched Methylobacterium and Sphingomonas in 'Zhuyeqi' may play distinct roles in disease resistance and drought resilience in tea plants.",What is the relation between tea and Methylobacterium?,positive
tea,Sphingomonas,"A closer examination was conducted on the microbial community of 'Zhuyeqi', further analyses of its endophytic bacteria indicated that its endophytic microbial community harbored a greater abundance of biomarkers, particularly among bacteria, and the enriched Methylobacterium and Sphingomonas in 'Zhuyeqi' may play distinct roles in disease resistance and drought resilience in tea plants.",What is the relation between tea and Sphingomonas?,positive
green tea,Anaerorhabdus,"Additionally, we detected strong associations between bioactive green tea compounds in plasma and specific gut bacteria, including associations between spiramycin and Gemmiger, and between wildforlide and Anaerorhabdus.",What is the relation between green tea and Anaerorhabdus?,relate
green tea,Gemmiger,"Additionally, we detected strong associations between bioactive green tea compounds in plasma and specific gut bacteria, including associations between spiramycin and Gemmiger, and between wildforlide and Anaerorhabdus.",What is the relation between green tea and Gemmiger?,relate
tea,Anaerorhabdus,"Additionally, we detected strong associations between bioactive green tea compounds in plasma and specific gut bacteria, including associations between spiramycin and Gemmiger, and between wildforlide and Anaerorhabdus.",What is the relation between tea and Anaerorhabdus?,relate
tea,Gemmiger,"Additionally, we detected strong associations between bioactive green tea compounds in plasma and specific gut bacteria, including associations between spiramycin and Gemmiger, and between wildforlide and Anaerorhabdus.",What is the relation between tea and Gemmiger?,relate
orange,Nesterenkonia lacusekhoensis,"This study aims to find a sustainable solution for dye removal by investigating the potential of an indigenously isolated bacterium, Nesterenkonia lacusekhoensis EMLA3 (halo-alkaliphilic) for treatment of an azo dye, methyl orange (MO) and textile effluent.",What is the relation between orange and Nesterenkonia lacusekhoensis?,negative
orange,Nesterenkonia,"This study aims to find a sustainable solution for dye removal by investigating the potential of an indigenously isolated bacterium, Nesterenkonia lacusekhoensis EMLA3 (halo-alkaliphilic) for treatment of an azo dye, methyl orange (MO) and textile effluent.",What is the relation between orange and Nesterenkonia?,negative
water,Burkholderia pseudomallei,"Melioidosis is caused by Burkholderia pseudomallei, an opportunistic Gram-negative pathogen that inhabits soil and water in tropical and subtropical regions.",What is the relation between water and Burkholderia pseudomallei?,positive
water,Burkholderia,"Melioidosis is caused by Burkholderia pseudomallei, an opportunistic Gram-negative pathogen that inhabits soil and water in tropical and subtropical regions.",What is the relation between water and Burkholderia?,positive
water,archaea,Both sulfur-oxidizing and sulfate-reducing bacteria (SRB) were prevalent in June while the increase of ammonia-oxidizing archaea (AOA) and ammonia-oxidizing bacteria (AOB) was observed in mid and bottom water in July.,What is the relation between water and archaea?,positive
cucumber,Microbacteriaceae,"Among these, the bacterial families Microbacteriaceae and Rhizobiaceae, along with the fungal species Leucocoprinus ianthinus and Mortierella globalpina, exhibited increases in their relative abundance in cucumber seedlings located near aphid-infested plants.",What is the relation between cucumber and Microbacteriaceae?,positive
cucumber,Rhizobiaceae,"Among these, the bacterial families Microbacteriaceae and Rhizobiaceae, along with the fungal species Leucocoprinus ianthinus and Mortierella globalpina, exhibited increases in their relative abundance in cucumber seedlings located near aphid-infested plants.",What is the relation between cucumber and Rhizobiaceae?,positive
tea,Proteobacteria,"Current analyses indicate that tea garden soils possess a rich composition of diverse microorganisms (bacteria and fungi) of which the bacterial Proteobacteria, Actinobacteria, Acidobacteria, Firmicutes and Chloroflexi and fungal Ascomycota, Basidiomycota, Glomeromycota are the prominent groups.",What is the relation between tea and Proteobacteria?,relate
tea,Actinobacteria,"Current analyses indicate that tea garden soils possess a rich composition of diverse microorganisms (bacteria and fungi) of which the bacterial Proteobacteria, Actinobacteria, Acidobacteria, Firmicutes and Chloroflexi and fungal Ascomycota, Basidiomycota, Glomeromycota are the prominent groups.",What is the relation between tea and Actinobacteria?,relate
tea,Acidobacteria,"Current analyses indicate that tea garden soils possess a rich composition of diverse microorganisms (bacteria and fungi) of which the bacterial Proteobacteria, Actinobacteria, Acidobacteria, Firmicutes and Chloroflexi and fungal Ascomycota, Basidiomycota, Glomeromycota are the prominent groups.",What is the relation between tea and Acidobacteria?,relate
tea,Chloroflexi,"Current analyses indicate that tea garden soils possess a rich composition of diverse microorganisms (bacteria and fungi) of which the bacterial Proteobacteria, Actinobacteria, Acidobacteria, Firmicutes and Chloroflexi and fungal Ascomycota, Basidiomycota, Glomeromycota are the prominent groups.",What is the relation between tea and Chloroflexi?,relate
tea,Firmicutes,"Current analyses indicate that tea garden soils possess a rich composition of diverse microorganisms (bacteria and fungi) of which the bacterial Proteobacteria, Actinobacteria, Acidobacteria, Firmicutes and Chloroflexi and fungal Ascomycota, Basidiomycota, Glomeromycota are the prominent groups.",What is the relation between tea and Firmicutes?,relate
soy sauce,Tetragenococcus halophilus,"Aggregating strains of Tetragenococcus halophilus tend to be trapped during soy sauce mash-pressing process and are, therefore, critical for clear soy sauce production.",What is the relation between soy sauce and Tetragenococcus halophilus?,positive
soy sauce,Tetragenococcus,"Aggregating strains of Tetragenococcus halophilus tend to be trapped during soy sauce mash-pressing process and are, therefore, critical for clear soy sauce production.",What is the relation between soy sauce and Tetragenococcus?,positive
soy sauce,Tetragenococcus halophilus,"Here, we showed that Tetragenococcus halophilus, a microorganism used in soy sauce fermentation, forms aggregates in a polysaccharide intercellular adhesin (PIA)-mediated manner.",What is the relation between soy sauce and Tetragenococcus halophilus?,relate
soy sauce,Tetragenococcus,"Here, we showed that Tetragenococcus halophilus, a microorganism used in soy sauce fermentation, forms aggregates in a polysaccharide intercellular adhesin (PIA)-mediated manner.",What is the relation between soy sauce and Tetragenococcus?,relate
chicken,Faecalibacterium,"Metagenomic analysis indicated that NAOS modulated the chicken gut microbiota structure and function, and microbial interactions, and promoted the growth of spermidine-producing bacteria especially Faecalibacterium.",What is the relation between chicken and Faecalibacterium?,negative
water,Legionella,"In one of the surface water-fed DWTPs, certain Legionella species present in the source water in winter were selectively enriched in the bacterial community after pre-oxidation, although they were susceptible to the subsequent purification steps.",What is the relation between water and Legionella?,negative
cabbage,Amycolatopsis mediterranei,"We found that the indicator genera of the bacterial community composition of the ginger-Chinese cabbage rotation system were Amycolatopsis (genus), Pseudonocardiales (order), Pseudonocardiaceae (family), and Amycolatopsis mediterranei, which are known as producers of secondary metabolites, such as antibiotics.",What is the relation between cabbage and Amycolatopsis mediterranei?,relate
cabbage,Pseudonocardiaceae,"We found that the indicator genera of the bacterial community composition of the ginger-Chinese cabbage rotation system were Amycolatopsis (genus), Pseudonocardiales (order), Pseudonocardiaceae (family), and Amycolatopsis mediterranei, which are known as producers of secondary metabolites, such as antibiotics.",What is the relation between cabbage and Pseudonocardiaceae?,relate
cabbage,Amycolatopsis,"We found that the indicator genera of the bacterial community composition of the ginger-Chinese cabbage rotation system were Amycolatopsis (genus), Pseudonocardiales (order), Pseudonocardiaceae (family), and Amycolatopsis mediterranei, which are known as producers of secondary metabolites, such as antibiotics.",What is the relation between cabbage and Amycolatopsis?,relate
tomato,Pseudomonas,Our results showed that continuous exposure to the pathogen Pseudomonas syringae pv tomato DC3000 led to improved growth and increased disease resistance in a third generation of rps2 mutant Arabidopsis thaliana.,What is the relation between tomato and Pseudomonas?,positive
water,Cyanobacteria,"Surprisingly, Cyanobacteria sequences were consistently associated with six out of seven coral families from both sampling locations, suggesting that these bacteria are potentially ubiquitous members of the microbiome within these cold and deep sea water corals.",What is the relation between water and Cyanobacteria?,relate
spinach,Serratia,"This study unveils the detoxification potential of insecticide-tolerant plant beneficial bacteria (PBB), i.e., Ciceribacter azotifigens SF1 and Serratia marcescens SRB1, in spinach treated with fipronil (FIP), profenofos (PF) and chlorantraniliprole (CLP) insecticides.",What is the relation between spinach and Serratia?,relate
tomato,Pseudomonas,XYL4 perception is conserved in different plant species since XYL4 pre-treatment triggers enhanced disease resistance in tomato to Pseudomonas syringae pv tomato DC3000 and PTI responses in wheat.,What is the relation between tomato and Pseudomonas?,negative
