DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
alcoholic liver disease (ALD),Firmicutes,"A study showed that probiotic-fermented Pueraria lobata (Willd.) Ohwi significantly reduced the abundance of Bacteroidetes and Akkermansia muciniphila while increasing the abundance of Firmicutes and Lactobacillus, which modulated aberrant gut microbiota composition and activated nuclear transcription factor (erythroid-derived 2)-like?2 (Nrf2)-mediated signals, thereby improving lipid accumulation and inflammation and exerting antioxidant effects and ultimately preventing ALD",What is the relationship between alcoholic liver disease (ALD) and Firmicutes?,negative
alcoholic liver disease (ALD),Lactobacillus,"A study showed that probiotic-fermented Pueraria lobata (Willd.) Ohwi significantly reduced the abundance of Bacteroidetes and Akkermansia muciniphila while increasing the abundance of Firmicutes and Lactobacillus, which modulated aberrant gut microbiota composition and activated nuclear transcription factor (erythroid-derived 2)-like?2 (Nrf2)-mediated signals, thereby improving lipid accumulation and inflammation and exerting antioxidant effects and ultimately preventing ALD",What is the relationship between alcoholic liver disease (ALD) and Lactobacillus?,negative
hepatocellular cancer (HCC),Bacteroidetes,"Meanwhile, integrating the microbiome and transcriptome found that?Bacteroidetes,?Lachnospiracea incertaesedis?and?Clostridium XIVa?were enriched in HCC patients, and their changes in the tumor immune microenvironment through serum bile acids may be important factors associated with liver cancer burden and poor clinical outcomes",What is the relationship between hepatocellular cancer (HCC) and Bacteroidetes?,positive
hepatocellular cancer (HCC),Lachnospiraceae incertae sedis,"Meanwhile, integrating the microbiome and transcriptome found that?Bacteroidetes,?Lachnospiracea incertaesedis?and?Clostridium XIVa?were enriched in HCC patients, and their changes in the tumor immune microenvironment through serum bile acids may be important factors associated with liver cancer burden and poor clinical outcomes",What is the relationship between hepatocellular cancer (HCC) and Lachnospiraceae incertae sedis?,positive
hepatocellular cancer (HCC),Clostridium XIVa,"Meanwhile, integrating the microbiome and transcriptome found that?Bacteroidetes,?Lachnospiracea incertaesedis?and?Clostridium XIVa?were enriched in HCC patients, and their changes in the tumor immune microenvironment through serum bile acids may be important factors associated with liver cancer burden and poor clinical outcomes",What is the relationship between hepatocellular cancer (HCC) and Clostridium XIVa?,positive
hepatocellular cancer (HCC),Bacteroides,"Based on the fecal gut microbiome analysis of HCC patients, it was found that the diversity and abundance of gut microbiota were significantly abnormal, mainly manifested in the increase in Bacteroides and Ruminococcus and the decrease in Bifidobacterium",What is the relationship between hepatocellular cancer (HCC) and Bacteroides?,positive
hepatocellular cancer (HCC),Ruminococcus,"Based on the fecal gut microbiome analysis of HCC patients, it was found that the diversity and abundance of gut microbiota were significantly abnormal, mainly manifested in the increase in Bacteroides and Ruminococcus and the decrease in Bifidobacterium",What is the relationship between hepatocellular cancer (HCC) and Ruminococcus?,positive
hepatocellular cancer (HCC),Bifidobacterium,"Based on the fecal gut microbiome analysis of HCC patients, it was found that the diversity and abundance of gut microbiota were significantly abnormal, mainly manifested in the increase in Bacteroides and Ruminococcus and the decrease in Bifidobacterium",What is the relationship between hepatocellular cancer (HCC) and Bifidobacterium?,negative
non-alcoholic fatty liver disease (NAFLD),Proteobacteria,"pecifically, gut microbiota dysbiosis, such as increased abundance of Proteobacteria and Actinobacteria and decreased numbers of Bacteroidetes, Prevotella and Firmicutes phyla, reduces the expression of tight junction protein genes, directly leading to the impairment of intestinal barrier function, making harmful microbiota and microorganisms pass through the intestinal barrier, stimulating the immune system and inducing immune cell inflammation, and ultimately accelerating NAFLD and liver fibrosis",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Proteobacteria?,positive
non-alcoholic fatty liver disease (NAFLD),Actinobacteria,"pecifically, gut microbiota dysbiosis, such as increased abundance of Proteobacteria and Actinobacteria and decreased numbers of Bacteroidetes, Prevotella and Firmicutes phyla, reduces the expression of tight junction protein genes, directly leading to the impairment of intestinal barrier function, making harmful microbiota and microorganisms pass through the intestinal barrier, stimulating the immune system and inducing immune cell inflammation, and ultimately accelerating NAFLD and liver fibrosis",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Actinobacteria?,positive
non-alcoholic fatty liver disease (NAFLD),Bacteroidia(Bacteroidetes),"pecifically, gut microbiota dysbiosis, such as increased abundance of Proteobacteria and Actinobacteria and decreased numbers of Bacteroida, Prevotella and Firmicutes phyla, reduces the expression of tight junction protein genes, directly leading to the impairment of intestinal barrier function, making harmful microbiota and microorganisms pass through the intestinal barrier, stimulating the immune system and inducing immune cell inflammation, and ultimately accelerating NAFLD and liver fibrosis",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Bacteroidia(Bacteroidetes)?,negative
non-alcoholic fatty liver disease (NAFLD),Prevotella,"pecifically, gut microbiota dysbiosis, such as increased abundance of Proteobacteria and Actinobacteria and decreased numbers of Bacteroidetes, Prevotella and Firmicutes phyla, reduces the expression of tight junction protein genes, directly leading to the impairment of intestinal barrier function, making harmful microbiota and microorganisms pass through the intestinal barrier, stimulating the immune system and inducing immune cell inflammation, and ultimately accelerating NAFLD and liver fibrosis",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Prevotella?,negative
non-alcoholic fatty liver disease (NAFLD),Firmicutes phyla,"pecifically, gut microbiota dysbiosis, such as increased abundance of Proteobacteria and Actinobacteria and decreased numbers of Bacteroidetes, Prevotella and Firmicutes phyla, reduces the expression of tight junction protein genes, directly leading to the impairment of intestinal barrier function, making harmful microbiota and microorganisms pass through the intestinal barrier, stimulating the immune system and inducing immune cell inflammation, and ultimately accelerating NAFLD and liver fibrosis",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Firmicutes phyla?,negative
non-alcoholic fatty liver disease (NAFLD),Akkermansia muciniphila,"Furthermore, MDG-1, an Ophiopogon polysaccharide, was shown to inhibit NAFLD by regulating the abundance of Akkermansia muciniphila",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Akkermansia muciniphila?,negative
autoimmune hepatitis (AIH),Enterococcus gallinarum,"various lines of evidence have linked gut microbiota dysbiosis with barrier autoimmunity and beyond, especially in the setting of AILD (69, 70). The detection of 16S rDNA sequencing in AIH patients showed that the abundance of Enterococcus gallinarum in liver tissue was significantly higher than that in healthy individuals. Moreover, the number of Bifidobacterium and Lactobacillus in their feces was significantly reduced, which induced a decrease in the proportion of Bifidobacterium to Enterococcus",What is the relationship between autoimmune hepatitis (AIH) and Enterococcus gallinarum?,positive
autoimmune hepatitis (AIH),Bifidobacterium,"various lines of evidence have linked gut microbiota dysbiosis with barrier autoimmunity and beyond, especially in the setting of AILD (69, 70). The detection of 16S rDNA sequencing in AIH patients showed that the abundance of Enterococcus gallinarum in liver tissue was significantly higher than that in healthy individuals. Moreover, the number of Bifidobacterium and Lactobacillus in their feces was significantly reduced, which induced a decrease in the proportion of Bifidobacterium to Enterococcus",What is the relationship between autoimmune hepatitis (AIH) and Bifidobacterium?,negative
autoimmune hepatitis (AIH),Lactobacillus,"various lines of evidence have linked gut microbiota dysbiosis with barrier autoimmunity and beyond, especially in the setting of AILD (69, 70). The detection of 16S rDNA sequencing in AIH patients showed that the abundance of Enterococcus gallinarum in liver tissue was significantly higher than that in healthy individuals. Moreover, the number of Bifidobacterium and Lactobacillus in their feces was significantly reduced, which induced a decrease in the proportion of Bifidobacterium to Enterococcus",What is the relationship between autoimmune hepatitis (AIH) and Lactobacillus?,negative
parkinson’s disease (PD),Bifidobacteria,The therapeutic effect  of Bifidobacteria alone is almost the same as that of anti-PD-L1 antibody.,What is the relationship between parkinson’s disease (PD) and Bifidobacteria?,negative
colorectal cancer (CRC),Helicobacter hepaticus,"[56] Clostridium butyricum and Bacillus  subtilis Tumour suppression Suppressed the proliferation of CRC cells, led to cell cycle arrest and  promoted apoptosis [107] Helicobacter hepaticus Tumour suppression Induce H. hepaticus - specific CD4+ T follicular T helper cells (TFH) and  the TFH- dependent formation of tertiary lymphoid structures (TLS)  within and around tumours.",What is the relationship between colorectal cancer (CRC) and Helicobacter hepaticus?,negative
colorectal cancer (CRC),Clostridium butyricum,"[56] Clostridium butyricum and Bacillus  subtilis Tumour suppression Suppressed the proliferation of CRC cells, led to cell cycle arrest and  promoted apoptosis [107] Helicobacter hepaticus Tumour suppression Induce H. hepaticus - specific CD4+ T follicular T helper cells (TFH) and  the TFH- dependent formation of tertiary lymphoid structures (TLS)  within and around tumours.",What is the relationship between colorectal cancer (CRC) and Clostridium butyricum?,negative
colorectal cancer (CRC),Helicobacter,"[56] Clostridium butyricum and Bacillus  subtilis Tumour suppression Suppressed the proliferation of CRC cells, led to cell cycle arrest and  promoted apoptosis [107] Helicobacter hepaticus Tumour suppression Induce H. hepaticus - specific CD4+ T follicular T helper cells (TFH) and  the TFH- dependent formation of tertiary lymphoid structures (TLS)  within and around tumours.",What is the relationship between colorectal cancer (CRC) and Helicobacter?,negative
colorectal cancer (CRC),Clostridium,"[56] Clostridium butyricum and Bacillus  subtilis Tumour suppression Suppressed the proliferation of CRC cells, led to cell cycle arrest and  promoted apoptosis [107] Helicobacter hepaticus Tumour suppression Induce H. hepaticus - specific CD4+ T follicular T helper cells (TFH) and  the TFH- dependent formation of tertiary lymphoid structures (TLS)  within and around tumours.",What is the relationship between colorectal cancer (CRC) and Clostridium?,negative
colorectal cancer (CRC),Bacillus,"[56] Clostridium butyricum and Bacillus  subtilis Tumour suppression Suppressed the proliferation of CRC cells, led to cell cycle arrest and  promoted apoptosis [107] Helicobacter hepaticus Tumour suppression Induce H. hepaticus - specific CD4+ T follicular T helper cells (TFH) and  the TFH- dependent formation of tertiary lymphoid structures (TLS)  within and around tumours.",What is the relationship between colorectal cancer (CRC) and Bacillus?,negative
colorectal cancer (CRC),Escherichia coli,"[111] Escherichia coli Promote colorectal cancer  metastasis to liver Escherichia coli drives mouse gut vascular barrier injury through VirF,  a virulence regulator, and reaches the liver to promote premetastatic  niche (PMN) formation.",What is the relationship between colorectal cancer (CRC) and Escherichia coli?,positive
colorectal cancer (CRC),Escherichia,"[111] Escherichia coli Promote colorectal cancer  metastasis to liver Escherichia coli drives mouse gut vascular barrier injury through VirF,  a virulence regulator, and reaches the liver to promote premetastatic  niche (PMN) formation.",What is the relationship between colorectal cancer (CRC) and Escherichia?,positive
prostate cancer,Helicobacter hepaticus,"[112] Prostate cancer Helicobacter hepaticus Tumour promotion Induced the production of TNF-  and IL- 1 , thereby activating the NF- B  signalling pathway and promoting the occurrence of prostate cancer.",What is the relationship between prostate cancer and Helicobacter hepaticus?,positive
prostate cancer,Helicobacter,"[112] Prostate cancer Helicobacter hepaticus Tumour promotion Induced the production of TNF-  and IL- 1 , thereby activating the NF- B  signalling pathway and promoting the occurrence of prostate cancer.",What is the relationship between prostate cancer and Helicobacter?,positive
breast cancer (BC),Helicobacter hepaticus,"Therefore, the regulation and intervention of intestinal  microbiota are of great significance in the treatment of  Cancer types Key microbiota Roles in cancer Underlying mechanism Breast cancer Lactobacillus reuteri Tumour suppression Prevented nuclear translocation of NF- B- p65 and c- jun and reduced the  resistance of HER2/neu tumour cells to apoptosis, [80] Helicobacter hepaticus Dual role at different times Rag2 / C57BL/6 ApcMin/+ mice infected with intestinal bacterial pathogen  Helicobacter hepaticus had more rapid breast cancer.",What is the relationship between breast cancer (BC) and Helicobacter hepaticus?,positive
breast cancer (BC),Lactobacillus reuteri,"Therefore, the regulation and intervention of intestinal  microbiota are of great significance in the treatment of  Cancer types Key microbiota Roles in cancer Underlying mechanism Breast cancer Lactobacillus reuteri Tumour suppression Prevented nuclear translocation of NF- B- p65 and c- jun and reduced the  resistance of HER2/neu tumour cells to apoptosis, [80] Helicobacter hepaticus Dual role at different times Rag2 / C57BL/6 ApcMin/+ mice infected with intestinal bacterial pathogen  Helicobacter hepaticus had more rapid breast cancer.",What is the relationship between breast cancer (BC) and Lactobacillus reuteri?,negative
breast cancer (BC),Lactobacillus,"Therefore, the regulation and intervention of intestinal  microbiota are of great significance in the treatment of  Cancer types Key microbiota Roles in cancer Underlying mechanism Breast cancer Lactobacillus reuteri Tumour suppression Prevented nuclear translocation of NF- B- p65 and c- jun and reduced the  resistance of HER2/neu tumour cells to apoptosis, [80] Helicobacter hepaticus Dual role at different times Rag2 / C57BL/6 ApcMin/+ mice infected with intestinal bacterial pathogen  Helicobacter hepaticus had more rapid breast cancer.",What is the relationship between breast cancer (BC) and Lactobacillus?,negative
breast cancer (BC),Helicobacter,"Therefore, the regulation and intervention of intestinal  microbiota are of great significance in the treatment of  Cancer types Key microbiota Roles in cancer Underlying mechanism Breast cancer Lactobacillus reuteri Tumour suppression Prevented nuclear translocation of NF- B- p65 and c- jun and reduced the  resistance of HER2/neu tumour cells to apoptosis, [80] Helicobacter hepaticus Dual role at different times Rag2 / C57BL/6 ApcMin/+ mice infected with intestinal bacterial pathogen  Helicobacter hepaticus had more rapid breast cancer.",What is the relationship between breast cancer (BC) and Helicobacter?,positive
multiple myeloma (MM),Prevotella heparinolytica,"[28,29] Multiple myeloma Prevotella heparinolytica Tumour promotion Activated Th17 cells to produce IL- 17, inducing the phosphorylation of  STAT3 in mouse plasma cells and the activation of eosinophils in TME.",What is the relationship between multiple myeloma (MM) and Prevotella heparinolytica?,positive
multiple myeloma (MM),Prevotella,"[28,29] Multiple myeloma Prevotella heparinolytica Tumour promotion Activated Th17 cells to produce IL- 17, inducing the phosphorylation of  STAT3 in mouse plasma cells and the activation of eosinophils in TME.",What is the relationship between multiple myeloma (MM) and Prevotella?,positive
parkinson’s disease (PD),Bifidobacteria,The oral administration of Bifidobacteria  alone has been shown to induce the same effect as anti-PD-L1 treatment.,What is the relationship between parkinson’s disease (PD) and Bifidobacteria?,negative
parkinson’s disease (PD),Bifidobacterium longum,"The increased abundance of bacteria, including Bifidobacterium longum, Enterococcus aerogenes and Enterococcus faecalis, was found in the faeces of  patients who were responsive to PD- 1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Bifidobacterium longum?,negative
parkinson’s disease (PD),Enterococcus faecalis,"The increased abundance of bacteria, including Bifidobacterium longum, Enterococcus aerogenes and Enterococcus faecalis, was found in the faeces of  patients who were responsive to PD- 1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Enterococcus faecalis?,negative
parkinson’s disease (PD),Bifidobacterium,"The increased abundance of bacteria, including Bifidobacterium longum, Enterococcus aerogenes and Enterococcus faecalis, was found in the faeces of  patients who were responsive to PD- 1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Bifidobacterium?,negative
parkinson’s disease (PD),Enterococcus,"The increased abundance of bacteria, including Bifidobacterium longum, Enterococcus aerogenes and Enterococcus faecalis, was found in the faeces of  patients who were responsive to PD- 1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Enterococcus?,negative
parkinson’s disease (PD),Lactobacillus,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Lactobacillus?,negative
parkinson’s disease (PD),Parabacteroides,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Parabacteroides?,negative
parkinson’s disease (PD),Parabacteroides merdae,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Parabacteroides merdae?,negative
parkinson’s disease (PD),Veillonella,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Veillonella?,negative
parkinson’s disease (PD),Veillonella parvula,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Veillonella parvula?,negative
parkinson’s disease (PD),Klebsiella,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Klebsiella?,negative
parkinson’s disease (PD),Klebsiella pneumoniae,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Klebsiella pneumoniae?,negative
parkinson’s disease (PD),Bifidobacterium,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Bifidobacterium?,negative
parkinson’s disease (PD),Bifidobacterium adolescentis,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Bifidobacterium adolescentis?,negative
parkinson’s disease (PD),Collinsella,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Collinsella?,negative
parkinson’s disease (PD),Collinsella aerofaciens,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Collinsella aerofaciens?,negative
parkinson’s disease (PD),Enterococcus,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Enterococcus?,negative
parkinson’s disease (PD),Enterococcus faecium,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Enterococcus faecium?,negative
parkinson’s disease (PD),Bifidobacterium longum,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Bifidobacterium longum?,negative
parkinson’s disease (PD),Bifidobacterium,"Eight species of Enterococcus faecium, Collinsella aerofaciens, Bifidobacterium adolescentis, Klebsiella pneumoniae, Veillonella parvula, Parabacteroides merdae, Lactobacillus sp. and Bifidobacterium longum were enriched in patients who responded to PD-1 antibody treatment.",What is the relationship between parkinson’s disease (PD) and Bifidobacterium?,negative
celiac disease,Bifidobacterium,Clinical intervention using  Bifidobacterium strains in celiac disease children reveals novel  microbial modulators of TNF-  and short- chain fatty acids.,What is the relationship between celiac disease and Bifidobacterium?,negative
parkinson’s disease (PD),Bifidobacterium,Commensal Bifidobacterium promotes an- titumor immunity and facilitates anti- PD- L1 efficacy.,What is the relationship between parkinson’s disease (PD) and Bifidobacterium?,negative
prostate cancer,Akkermansia,Abiraterone acetate preferentially enriches  for the gut commensal Akkermansia muciniphila in castrate-resistant prostate cancer patients.,What is the relationship between prostate cancer and Akkermansia?,negative
depression,L. rhamnosus,"In particular, administration of Lactobacillus sp, Bifidobacteria sp, L. helvetucys, B. longum, L. rhamnosus and Lactobacillus  farciminis in murine sample lay to an improvement of  depression and anxiety symptoms [51].",What is the relationship between depression and L. rhamnosus?,negative
depression,B. longum,"In particular, administration of Lactobacillus sp, Bifidobacteria sp, L. helvetucys, B. longum, L. rhamnosus and Lactobacillus  farciminis in murine sample lay to an improvement of  depression and anxiety symptoms [51].",What is the relationship between depression and B. longum?,negative
depression,L. helvetucys,"In particular, administration of Lactobacillus sp, Bifidobacteria sp, L. helvetucys, B. longum, L. rhamnosus and Lactobacillus  farciminis in murine sample lay to an improvement of  depression and anxiety symptoms [51].",What is the relationship between depression and L. helvetucys?,negative
depression,Lactobacillus,"In particular, administration of Lactobacillus sp, Bifidobacteria sp, L. helvetucys, B. longum, L. rhamnosus and Lactobacillus  farciminis in murine sample lay to an improvement of  depression and anxiety symptoms [51].",What is the relationship between depression and Lactobacillus?,negative
depression,Bifidobacteria,"In particular, administration of Lactobacillus sp, Bifidobacteria sp, L.  helvetucys, B. longum, L. rhamnosus and Lactobacillus  farciminis in murine sample lay to an improvement of  depression and anxiety symptoms [51].",What is the relationship between depression and Bifidobacteria?,negative
depression,Lactobacillus,"In particular, administration of Lactobacillus sp, Bifidobacteria sp, L.  helvetucys, B. longum, L. rhamnosus and Lactobacillus  farciminis in murine sample lay to an improvement of  depression and anxiety symptoms [51].",What is the relationship between depression and Lactobacillus?,positive
depression,Alistipes,"Among clinical studies conducted, gut microbiota  has been characterized, showing an overexpression of  Alistipes in patients affected by depression disorder [47].",What is the relationship between depression and Alistipes?,positive
chronic fatigue syndrome,Bacteroidetes,"The overexpression of this bacterium, a genus in the  phylum of Bacteroidetes, has been demonstrated in  other disorders, such as chronic fatigue syndrome  and in IBS [55,56].",What is the relationship between chronic fatigue syndrome and Bacteroidetes?,positive
irritable bowel syndrome (IBS),Bacteroidetes,"The overexpression of this bacterium, a genus in the  phylum of Bacteroidetes, has been demonstrated in  other disorders, such as chronic fatigue syndrome  and in IBS [55,56].",What is the relationship between irritable bowel syndrome (IBS) and Bacteroidetes?,positive
depression,Alistipes,"Moreover,  Alistipes has been linked to depression mood by  generation of inflammatory molecules able to spread  into the bloodstream in condition of altered intestinal  permeability [47,51,57].",What is the relationship between depression and Alistipes?,positive
infectious diseases,Clostridium,"Their  use, especially for infectious diseases, can achieve  an alteration of the composition of the gut microbiota  that can lead to significant side effects, not the least  of antibiotic-associated diarrhoea due to Clostridium  difficile [59].",What is the relationship between infectious diseases and Clostridium?,positive
autism spectrum disorder (ASD),Bacteroides fragilis,"Finally, Hsiao et al [74] showed that the oral admini  stration of Bacteroides fragilis, improved some mood  symptoms- such as anxiety, stereotypical behaviour  and sensorimotor gating-in a maternal immune ac  tivation (MIA) animal model that is known to display  features of ASD.",What is the relationship between autism spectrum disorder (ASD) and Bacteroides fragilis?,negative
autism spectrum disorder (ASD),Bacteroides,"Finally, Hsiao et al [74] showed that the oral admini  stration of Bacteroides fragilis, improved some mood  symptoms- such as anxiety, stereotypical behaviour  and sensorimotor gating-in a maternal immune ac  tivation (MIA) animal model that is known to display  features of ASD.",What is the relationship between autism spectrum disorder (ASD) and Bacteroides?,negative
coronary artery disease (CAD),Lactobacillales,"To take simple examples, we demonstrated that the order Lactobacillales was significantly increased; while the phylum Bacteroidetes was significantly  decreased in coronary artery disease (CAD) patients compared with controls or healthy volunteers.",What is the relationship between coronary artery disease (CAD) and Lactobacillales?,positive
coronary artery disease (CAD),Bacteroidetes,"To take simple examples, we demonstrated that the order Lactobacillales was significantly increased; while the phylum Bacteroidetes was significantly  decreased in coronary artery disease (CAD) patients compared with controls or healthy volunteers.",What is the relationship between coronary artery disease (CAD) and Bacteroidetes?,negative
obeseity (obese),Firmicutes,an increase of the phylum Firmicutes and decrease of the phylum Bacteroidetes in obese patients attracted the attention of researchers around the world.,What is the relationship between obeseity (obese) and Firmicutes?,positive
obeseity (obese),Bacteroidetes,an increase of the phylum Firmicutes and decrease of the phylum Bacteroidetes in obese patients attracted the attention of researchers around the world.,What is the relationship between obeseity (obese) and Bacteroidetes?,negative
obeseity (obese),Bacteroidetes,"The interaction of obesity and gut microbiota was first  observed as an increase of the phylum Firmicutes and a decrease of the phylum Bacteroidetes in obese patients, an observation that attracted the attention of researchers around the  world.",What is the relationship between obeseity (obese) and Bacteroidetes?,negative
obeseity (obese),Firmicutes,"The interaction of obesity and gut microbiota was first  observed as an increase of the phylum Firmicutes and a decrease of the phylum Bacteroidetes in obese patients, an observation that attracted the attention of researchers around the  world.",What is the relationship between obeseity (obese) and Firmicutes?,positive
atherosclerosis,Bacteroidetes,"Although there are differences between carotid atherosclerosis  and coronary atherosclerosis, we found consistently low levels  of the phylum Bacteroidetes.",What is the relationship between atherosclerosis and Bacteroidetes?,negative
atherosclerosis,Bacteroidetes,Our and previous reports supported the hy-pothesis that the phylum Bacteroidetes might help to prevent  coronary atherosclerosis.,What is the relationship between atherosclerosis and Bacteroidetes?,negative
coronary artery disease (CAD),Lactobacillales,B: The percentage of the order Lactobacillales was increased; while the percentage of the phylum Bacteroidetes (Prevotella + Bacteroides) was decreased and  the F/B (Fimicutes / Bacteroidetes) ratio was increased in coronary artery disease (CAD) patients.,What is the relationship between coronary artery disease (CAD) and Lactobacillales?,positive
coronary artery disease (CAD),Bacteroidetes,B: The percentage of the order Lactobacillales was increased; while the percentage of the phylum Bacteroidetes (Prevotella + Bacteroides) was decreased and  the F/B (Fimicutes / Bacteroidetes) ratio was increased in coronary artery disease (CAD) patients.,What is the relationship between coronary artery disease (CAD) and Bacteroidetes?,negative
coronary artery disease (CAD),Bacteroides,B: The percentage of the order Lacto- bacillales was increased; while the percentage of the phylum Bacteroidetes (Prevotella + Bacteroides) was decreased and  the F/B (Fimicutes / Bacteroidetes) ratio was increased in coronary artery disease (CAD) patients.,What is the relationship between coronary artery disease (CAD) and Bacteroides?,negative
coronary artery disease (CAD),Prevotella,B: The percentage of the order Lacto- bacillales was increased; while the percentage of the phylum Bacteroidetes (Prevotella + Bacteroides) was decreased and  the F/B (Fimicutes / Bacteroidetes) ratio was increased in coronary artery disease (CAD) patients.,What is the relationship between coronary artery disease (CAD) and Prevotella?,negative
coronary artery disease (CAD),bacillales,B: The percentage of the order Lacto- bacillales was increased; while the percentage of the phylum Bacteroidetes (Prevotella + Bacteroides) was decreased and  the F/B (Fimicutes / Bacteroidetes) ratio was increased in coronary artery disease (CAD) patients.,What is the relationship between coronary artery disease (CAD) and bacillales?,positive
coronary artery disease (CAD),Fimicutes,B: The percentage of the order Lactobacillales was increased; while the percentage of the phylum Bacteroidetes (Prevotella + Bacteroides) was decreased and  the F/B (Fimicutes / Bacteroidetes) ratio was increased in coronary artery disease (CAD) patients.,What is the relationship between coronary artery disease (CAD) and Fimicutes?,positive
diabetes,Bifidobacteria,"Probiotics comprise of living bacteria (e.g., Bifidobacteria species, Lactobacilli and Streptococci) that can modulate the composition of gut microbiota in an attempt to improve the health of the gastrointestinal tract, the immune system, inflammatory state and the bioavailability of micronutrients and reduce the risks of diabetes, ameliorate dyslipidemia, allergic disorders and certain cancers",What is the relationship between diabetes and Bifidobacteria?,negative
